Movie_id,revenue,collection_name
862,373554033.0,Toy Story Collection
15602,0.0,Grumpy Old Men Collection
11862,76578911.0,Father of the Bride Collection
710,352194034.0,James Bond Collection
21032,11348324.0,Balto Collection
9273,212385533.0,Ace Ventura Collection
8012,115101622.0,Chili Palmer Collection
9598,254134910.0,Babe Collection
9312,122195920.0,Mortal Kombat Collection
10530,346079773.0,Pocahontas Collection
11525,2409225.0,The Lawnmower Man Collection
10634,28215918.0,Friday Collection
755,25836616.0,From Dusk Till Dawn Collection
9102,5781885.0,Screamers Collection
10874,34327391.0,The Muppet Collection
27793,0.0,The Neverending Story Collection
9737,141407024.0,Bad Boys Collection
414,336529144.0,Batman Collection
5894,1275000.0,Brooklyn Cigar Store Collection
8839,287928194.0,Casper Collection
8068,25405445.0,Mexico Trilogy
1572,366101666.0,Die Hard Collection
13552,0.0,Teenage Apocalypse Trilogy
9073,0.0,Free Willy Collection
9070,66000000.0,Power Rangers Collection
1642,110627965.0,Síť (kolekce)
11980,16.0,The Prophecy Collection
10802,20350754.0,Showgirls Collection
10149,8349430.0,Brooklyn Cigar Store Collection
9348,113374103.0,Species Collection
3512,104324083.0,Under Siege Collection
50797,2616503.0,Burnt by the Sun Trilogy
76,5535405.0,Before... Collection
2292,3151130.0,Clerks Collection
8467,247275374.0,Dumb and Dumber Collection
15789,35348597.0,A Goofy Movie Collection
628,223664608.0,The Vampire Chronicles
11,775398007.0,Star Wars Collection
63105,0.0,Nemesis Collection
527,2201126.0,Once were Warriors Collection
18220,0.0,Poison Ivy Collection
110,0.0,Three Colors Collection
108,0.0,Three Colors Collection
109,0.0,Three Colors Collection
22586,9771658.0,Swan Princess Series
11395,189833357.0,The Santa Clause Collection
9059,0.0,Tales from the Crypt Collection
193,120000000.0,Star Trek: The Next Generation Collection
3049,107217396.0,Ace Ventura Collection
9331,215887717.0,The Jack Ryan Collection
9495,94000000.0,The Crow Collection
888,341631208.0,The Flintstones (Live-Action) Collection
8587,788241776.0,The Lion King Collection
11596,18090181.0,A Nightmare on Elm Street Collection
854,351583407.0,The Mask Collection
36593,51132598.0,Naked Gun Collection
11011,0.0,Richie Rich Collection
1637,350448145.0,Speed Collection
8831,101646581.0,Timecop Collection
11667,99423521.0,Street Fighter
75555,0.0,Fear Collection
8011,36800000.0,Highlander Collection
2758,48919043.0,Addams Family Collection
9409,0.0,Stakeout Collection
306,119208989.0,Beverly Hills Cop Collection
11310,0.0,City Slickers Collection
24257,0.0,The Endless Summer Collection
1634,153698625.0,Free Willy Collection
5503,368875760.0,The Fugitive / U.S. Marshals Collection
2019,74189677.0,Hard Target Collection
9255,133752825.0,Hot Shots! Collection
16097,0.0,House Party Collection
329,920100000.0,Jurassic Park Collection
11231,15826984.0,The Karate Kid Collection
5550,10696210.0,RoboCop Collection
11236,0.0,The Secret Garden Collection
8850,48063435.0,The Shadow Collection
78,33139618.0,Blade Runner Collection
9066,0.0,The Brady Bunch Collection
771,476684675.0,Home Alone Collection
812,504050219.0,Aladdin Collection
280,520000000.0,The Terminator Collection
268,411348924.0,Batman Collection
274,272742922.0,The Hannibal Lecter Anthology
10020,377350553.0,Beauty and the Beast Collection
10824,13940383.0,Candyman Collection
25059,32709423.0,Homeward Bound Collection
11827,0.0,Heavy Metal Collection
8766,16675000.0,Hellraiser Collection
19042,8620678.0,All Dogs Go to Heaven Collection
954,457696359.0,Mission: Impossible Collection
8840,115267375.0,DragonHeart Collection
25087,684351.0,Bloodsport Collection
5801,536364.0,The Apu Collection
896,16000.0,The Apu Collection
8072,0.0,Lemmy Caution Collection
20762,0.0,The Substitute Collection
11687,0.0,The Visitors Collection
9323,2287714.0,Ghost in the Shell Collection
532,0.0,Wallace & Gromit Collection
10547,14048372.0,The Arrival Collection
77771,0.0,"Martin Scorsese’s World Cinema Project, Vol. 1"
627,16491080.0,Trainspotting Collection
602,816969268.0,Independence Day Collection
10545,100138851.0,The Hunchback of Notre Dame Collection
9327,128769345.0,The Nutty Professor Collection
12606,0.0,The Brady Bunch Collection
10546,17917287.0,The Crow Collection
9431,5600000.0,Tales from the Crypt Collection
10061,42277365.0,Escape From ... Collection
238,245066411.0,The Godfather Collection
11134,20483423.0,Police Story Collection
38955,0.0,Police Story Collection
19004,0.0,The Land Before Time Collection
10987,15116634.0,Halloween Collection
62,68700000.0,The Space Odyssey Series
3529,1423000.0,The Thin Man Collection
10331,30000000.0,Living Dead Collection
39448,0.0,In the Line of Duty Collection
10680,22955097.0,The Mighty Ducks Collection
18660,0.0,The Apple Dumpling Gang Collection
35115,0.0,Davy Crockett Collection
14821,20000000.0,Witch Mountain Collection
14136,0.0,Herbie Collection
10869,0.0,Herbie Collection
19186,0.0,Parent Trap Collection
6878,0.0,Homeward Bound Collection
15944,0.0,The Shaggy Dog Collection
11224,263591415.0,Cinderella Collection
15947,0.0,Caballeros Collection
