Movie_id,revenue,company_name
862,373554033.0,Pixar Animation Studios
8844,262797249.0,TriStar Pictures
15602,0.0,Teitler Film
31357,81452156.0,Interscope Communications
11862,76578911.0,Warner Bros.
949,187436818.0,Lancaster Gate
11860,0.0,Twentieth Century Fox Film Corporation
45325,0.0,Sandollar Productions
9091,64350171.0,Touchstone Pictures
710,352194034.0,Regency Enterprises
9087,107879496.0,Forward Pass
12110,0.0,Warner Bros.
21032,11348324.0,Paramount Pictures
10858,13681765.0,Scott Rudin Productions
1408,10017322.0,Mirage Enterprises
524,116112375.0,Sandollar Productions
4584,135000000.0,Constellation Entertainment
5,4300000.0,Worldwide
9273,212385533.0,Mont Blanc Entertainment GmbH
11517,35431113.0,Walt Disney Pictures
8012,115101622.0,Universal Pictures
1710,0.0,Imperial Entertainment
9691,30303072.0,Signature Entertainment
12665,0.0,United Artists
451,49800000.0,Eon Productions
16420,0.0,Columbia Pictures
9263,27400000.0,Castle Rock Entertainment
17015,0.0,Columbia Pictures
902,1738611.0,Castle Rock Entertainment
37557,0.0,Enigma Pictures
9909,180000000.0,Universal Pictures
63,168840000.0,Amblin Entertainment
78802,0.0,Amblimation
9598,254134910.0,Hollywood Pictures
47018,0.0,Cinergi Pictures Entertainment
687,39363635.0,Le Studio Canal+
139405,0.0,Laurence Mark Productions
33689,0.0,Metro-Goldwyn-Mayer (MGM)
9603,0.0,Carolco Pictures
34615,676525.0,Universal Pictures
31174,0.0,Légende Entreprises
11443,0.0,Syalis DA
35196,0.0,De Fina-Cappa
9312,122195920.0,Columbia Pictures Corporation
577,21284514.0,Mirage Enterprises
11861,23574130.0,Miramax Films
807,327311859.0,A Band Apart
10530,346079773.0,O Entertainment
8391,0.0,Warner Bros.
629,23341568.0,Morgan Creek Productions
117164,0.0,Columbia Pictures
11448,6700000.0,Jersey Films
49133,0.0,Metro-Goldwyn-Mayer (MGM)
26441,0.0,Regency Enterprises
97406,0.0,New Regency Pictures
124057,0.0,Silver Pictures
9089,17519169.0,Canal+
11010,0.0,Warner Bros.
99040,0.0,Dino De Laurentiis Company
11359,0.0,Donner/Shuler-Donner Productions
17182,0.0,Evansgideon/Lazar
2054,106269971.0,Caravan Pictures
10607,0.0,Hollywood Pictures
19760,0.0,United Artists
9536,0.0,Intial Productions
11525,2409225.0,Columbia Pictures
40628,0.0,Castle Rock Entertainment
4482,0.0,New Line Cinema
10634,28215918.0,BBC Films
755,25836616.0,Procirep
11859,11534477.0,Constellation Productions
28387,718490.0,France 3 Cinéma
48750,0.0,Claudie Ossard Productions
20927,19030691.0,Eurimages
36929,2042530.0,MEDIA Programme of the European Union
9102,5781885.0,Cofimage 5
124626,0.0,Televisión Española (TVE)
27526,0.0,Tele München Fernseh Produktionsgesellschaft (TMG)
9623,0.0,Club d'Investissement Média
46785,0.0,Canal+ España
400,529766.0,Elías Querejeta Producciones Cinematográficas S.L.
880,0.0,Centre National de la Cinématographie (CNC)
146599,0.0,Victoires Productions
188588,0.0,Constellation
8447,0.0,Lumière Pictures
10534,10300000.0,Canal+
17414,0.0,Studio Image
13997,32.0,Cofimage 4
2086,8175346.0,Ossane
61548,0.0,Phoenix Images
9095,12379402.0,Ministère des Affaires Étrangères
12158,19800000.0,Alpha Films
9283,0.0,La Sept Cinéma
9208,150270147.0,Hollywood Pictures
40154,0.0,Via Rosa Productions
406,0.0,Don Simpson/Jerry Bruckheimer Films
45549,0.0,Universal Pictures
63076,0.0,Atlas Entertainment
11062,0.0,Classico
13685,560069.0,Iwerks Entertainment
47475,0.0,Universal Pictures
2045,0.0,Kennedy Miller Productions
9614,41205099.0,StudioCanal
688,182016617.0,Cinéa
11907,0.0,Euston Films
10874,34327391.0,Freeway Films
89333,0.0,European Co-production Fund
96357,0.0,Polygram Filmed Entertainment
197,210000000.0,Orsans Productions
103,28262574.0,Havoc
33542,32392047.0,PolyGram Filmed Entertainment
43566,0.0,Working Title Films
71754,0.0,Sony New Technologies
43612,0.0,Dualstar Productions
51352,1.0,Warner Bros.
16934,0.0,Rysher Entertainment
10324,0.0,Orr & Cruickshank
78406,6278139.0,Paramount Pictures
55731,0.0,Miramax
32119,0.0,Distant Horizon
11066,70100000.0,Alpine Pty Limited
11104,0.0,British Screen
37975,0.0,Mayfair Entertainment International
2074,14702438.0,Caravan Pictures
27793,0.0,Underworld Entertainment
44284,0.0,Hollywood Pictures
290157,0.0,Miramax Films
110972,0.0,New Line Cinema
32622,0.0,Threshold Entertainment
73067,0.0,The Rank Organisation
11863,9851610.0,Columbia Pictures Corporation
55475,0.0,Universal Pictures
124636,0.0,Amblin Entertainment
9101,0.0,New Line Cinema
123360,0.0,Juno Pix
5757,209935.0,Cecchi Gori Pictures
39428,0.0,Walt Disney Pictures
124639,0.0,Walt Disney Feature Animation
9302,0.0,Alliance Communications Corporation
11000,185260553.0,Blue Parrot Productions
249882,0.0,Bad Hat Harry Productions
9737,141407024.0,Miramax Films
30765,0.0,Magnolia Pictures
22279,851545.0,Walt Disney Pictures
30157,0.0,Caravan Pictures
568,355237933.0,Miramax Films
11780,31596911.0,CiBy 2000
34996,0.0,Telefilm Canada
414,336529144.0,Melenny Productions
649,0.0,Paramount Pictures
1873,0.0,Egg Pictures
5894,1275000.0,PolyGram Filmed Entertainment
20649,13071518.0,Paramount Pictures
10329,152022101.0,Columbia Pictures Corporation
8963,157387195.0,The Kennedy/Marshall Company
26564,3174695.0,Paramount Pictures
8068,25405445.0,Hollywood Pictures
8512,16140822.0,The Charlie Mopic Company
1572,366101666.0,PolyGram Filmed Entertainment
13552,0.0,Interscope Communications
259209,0.0,Miramax Films
6520,127600435.0,Island Pictures
9073,0.0,Ivory Way Productions
10428,7563728.0,Warner Bros.
17447,0.0,Morgan Creek Productions
9886,19075720.0,Metro-Goldwyn-Mayer (MGM)
9482,113493481.0,Motion Picture Corporation of America (MPCA)
19326,17014653.0,3 Arts Entertainment
9344,7412216.0,Weasel Productions
9071,1148752.0,New Line Cinema
8973,0.0,Miramax Films
15730,0.0,Renn Productions
47608,15453274.0,Les Films Flam
2293,2122561.0,TF1 Films Production
9070,66000000.0,Canal+
68274,0.0,New Line Cinema
48787,1.0,A Band Apart
34574,0.0,Dimension Films
1642,110627965.0,Los Hooligans Productions
11472,69660733.0,Miramax
36196,472370.0,Silver Pictures
11980,16.0,Warner Bros.
58372,0.0,Castleberg Productions
32646,0.0,Sandollar Productions
10533,10382407.0,Les Films 13
56088,0.0,Canal+
10802,20350754.0,TF1
10149,8349430.0,New Line Cinema
18402,50892160.0,Juno Pix
9348,113374103.0,Warner Bros.
139408,0.0,Morgan Creek Productions
281,7959291.0,The Movie Network (TMN)
5967,0.0,Allegro Films
79593,5780000.0,Fuji Eight Company Ltd.
47939,7025496.0,Fries Film Group
36834,339889.0,Super Ecran
9090,47774193.0,Triumph Films
3512,104324083.0,Zweites Deutsches Fernsehen (ZDF)
52856,0.0,Ciak Filmproduktion
77350,0.0,Bluehorse Films
9560,50012507.0,Miramax Films
9804,264218220.0,Columbia Pictures Corporation
31611,0.0,I.R.I.B. Channel 2
65796,0.0,Ferdos Films
49805,0.0,Miramax Films
26258,0.0,Bergen Film
50797,2616503.0,Bard Entertainments
19155,763847.0,NPS Televisie
76,5535405.0,BET Pictures
11017,26488734.0,United Image Entertainme
9382,23450000.0,Playhouse International Pictures
6715,0.0,The Samuel Goldwyn Company
18256,0.0,Hollywood Pictures
22625,0.0,Largo Entertainment
2292,3151130.0,Scott Free Productions
1909,22200000.0,Twentieth Century Fox Film Corporation
8984,214015089.0,Joe Wizan/Todd Black
61813,0.0,Paramount Pictures
4954,0.0,Paramount Pictures
62488,0.0,Miramax Films
10531,0.0,Addis Wechsler Pictures
11929,0.0,TriStar Pictures
8467,247275374.0,NFH Productions
10451,7294403.0,Paramount Pictures
20156,0.0,Miramax Films
18395,6841570.0,Woods Entertainment
522,5887457.0,Twentieth Century Fox Film Corporation
397,0.0,WCG Entertainment Productions
10525,0.0,Mark Gordon Productions
27985,0.0,Castle Rock Entertainment
15789,35348597.0,Midwinter Films
27303,12201255.0,Egg Pictures
21183,0.0,PolyGram Filmed Entertainment
10954,0.0,Canal+
47867,3992809.0,Les Productions Lazennec
43475,0.0,La Sept Cinéma
72031,0.0,Kasso Inc. Productions
14275,7830611.0,Studio Image
1024,3049135.0,Cofinergie 6
17207,26325256.0,Channel Four Films
13701,0.0,British Broadcasting Corporation (BBC)
14819,17689177.0,Westdeutscher Rundfunk (WDR)
32631,0.0,Canadian Broadcasting Corporation (CBC)
11777,0.0,Cinemax Reel Life
628,223664608.0,InPictures
87729,2474000.0,Lafayette Films
18713,0.0,Columbia Pictures
6280,37000000.0,Castle Rock Entertainment
9061,0.0,Gracie Films
37108,0.0,Columbia Pictures Corporation
