Movie_id,title,release_date,budget,revenue,return,name
862,Toy Story,1995-10-30,30000000.0,373554033.0,12.4518011,John Lasseter
8844,Jumanji,1995-12-15,65000000.0,262797249.0,4.0430346,Joe Johnston
15602,Grumpier Old Men,1995-12-22,0.0,0.0,0.0,Howard Deutch
31357,Waiting to Exhale,1995-12-22,16000000.0,81452156.0,5.09075975,Forest Whitaker
11862,Father of the Bride Part II,1995-02-10,0.0,76578911.0,0.0,Charles Shyer
949,Heat,1995-12-15,60000000.0,187436818.0,3.123946966666667,Michael Mann
11860,Sabrina,1995-12-15,58000000.0,0.0,0.0,Sydney Pollack
45325,Tom and Huck,1995-12-22,0.0,0.0,0.0,Peter Hewitt
9091,Sudden Death,1995-12-22,35000000.0,64350171.0,1.8385763142857143,Peter Hyams
710,GoldenEye,1995-11-16,58000000.0,352194034.0,6.072310931034483,Martin Campbell
9087,The American President,1995-11-17,62000000.0,107879496.0,1.739991870967742,Rob Reiner
12110,Dracula: Dead and Loving It,1995-12-22,0.0,0.0,0.0,Mel Brooks
21032,Balto,1995-12-22,0.0,11348324.0,0.0,Simon Wells
10858,Nixon,1995-12-22,44000000.0,13681765.0,0.3109492045454545,Oliver Stone
1408,Cutthroat Island,1995-12-22,98000000.0,10017322.0,0.1022175714285714,Renny Harlin
524,Casino,1995-11-22,52000000.0,116112375.0,2.2329302884615383,Martin Scorsese
4584,Sense and Sensibility,1995-12-13,16500000.0,135000000.0,8.181818181818182,Ang Lee
5,Four Rooms,1995-12-09,4000000.0,4300000.0,1.075,Allison Anders
9273,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0,7.079517766666667,Steve Oedekerk
11517,Money Train,1995-11-21,60000000.0,35431113.0,0.59051855,Joseph Ruben
8012,Get Shorty,1995-10-20,30250000.0,115101622.0,3.805012297520661,Barry Sonnenfeld
1710,Copycat,1995-10-27,0.0,0.0,0.0,Jon Amiel
9691,Assassins,1995-10-06,50000000.0,30303072.0,0.60606144,Richard Donner
12665,Powder,1995-10-27,0.0,0.0,0.0,Victor Salva
451,Leaving Las Vegas,1995-10-27,3600000.0,49800000.0,13.833333333333334,Mike Figgis
16420,Othello,1995-12-15,0.0,0.0,0.0,Oliver Parker
9263,Now and Then,1995-10-20,12000000.0,27400000.0,2.283333333333333,Lesli Linka Glatter
17015,Persuasion,1995-09-27,0.0,0.0,0.0,Roger Michell
902,The City of Lost Children,1995-05-16,18000000.0,1738611.0,0.0965895,Jean-Pierre Jeunet
37557,Shanghai Triad,1995-04-30,0.0,0.0,0.0,Zhang Yimou
9909,Dangerous Minds,1995-08-11,0.0,180000000.0,0.0,John N. Smith
63,Twelve Monkeys,1995-12-29,29500000.0,168840000.0,5.7233898305084745,Terry Gilliam
78802,Wings of Courage,1996-09-18,0.0,0.0,0.0,Jean-Jacques Annaud
9598,Babe,1995-07-18,30000000.0,254134910.0,8.471163666666667,Chris Noonan
47018,Carrington,1995-11-08,0.0,0.0,0.0,Christopher Hampton
687,Dead Man Walking,1995-12-29,11000000.0,39363635.0,3.5785122727272727,Tim Robbins
139405,Across the Sea of Time,1995-10-20,0.0,0.0,0.0,Stephen Low
33689,It Takes Two,1995-11-17,0.0,0.0,0.0,Andy Tennant
9603,Clueless,1995-07-19,12000000.0,0.0,0.0,Amy Heckerling
34615,"Cry, the Beloved Country",1995-12-15,0.0,676525.0,0.0,Darrell James Roodt
31174,Richard III,1995-12-29,0.0,0.0,0.0,Richard Loncraine
11443,Dead Presidents,1995-10-06,10000000.0,0.0,0.0,Albert Hughes
35196,Restoration,1995-12-29,19000000.0,0.0,0.0,Michael Hoffman
9312,Mortal Kombat,1995-08-18,18000000.0,122195920.0,6.788662222222222,Paul W.S. Anderson
577,To Die For,1995-05-20,20000000.0,21284514.0,1.0642257,Gus Van Sant
11861,How To Make An American Quilt,1995-10-06,10000000.0,23574130.0,2.357413,Jocelyn Moorhouse
807,Se7en,1995-09-22,33000000.0,327311859.0,9.91854118181818,David Fincher
10530,Pocahontas,1995-06-14,55000000.0,346079773.0,6.292359509090909,Mike Gabriel
8391,When Night Is Falling,1995-05-05,0.0,0.0,0.0,Patricia Rozema
629,The Usual Suspects,1995-07-19,6000000.0,23341568.0,3.890261333333333,Bryan Singer
117164,Guardian Angel,1994-11-22,0.0,0.0,0.0,Richard W. Munchkin
11448,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0,0.4466666666666666,Woody Allen
49133,Lamerica,1994-01-01,0.0,0.0,0.0,Gianni Amelio
26441,The Big Green,1995-09-29,0.0,0.0,0.0,Holly Goldberg Sloan
97406,Georgia,1995-05-19,0.0,0.0,0.0,Ulu Grosbard
124057,Kids of the Round Table,1997-07-08,0.0,0.0,0.0,Robert Tinnell
9089,Home for the Holidays,1995-11-02,0.0,17519169.0,0.0,Jodie Foster
11010,The Postman,1994-09-22,0.0,0.0,0.0,Michael Radford
99040,The Confessional,1995-09-29,0.0,0.0,0.0,Robert Lepage
11359,The Indian in the Cupboard,1995-07-14,45000000.0,0.0,0.0,Frank Oz
17182,Eye for an Eye,1996-01-12,20000000.0,0.0,0.0,John Schlesinger
2054,Mr. Holland's Opus,1995-12-29,0.0,106269971.0,0.0,Stephen Herek
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,0.0,0.0,0.0,Paris Barclay
19760,Two If by Sea,1996-01-12,0.0,0.0,0.0,Bill Bennett
9536,Bio-Dome,1996-01-12,15000000.0,0.0,0.0,Jason Bloom
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,0.0,2409225.0,0.0,Farhad Mann
